ID,Nhóm,Điểm tổng,Điểm tối đa,Điểm quy đổi,unittest,statements about dict,binary mode,Inheritance three levels,lt operator,person print,add,copy list,dict sort,high order lambda,inher init,lambda sum,lambda vector,list mutation,lambda module,max sub,recursive,eq overload,try block,Multiple Choice,tuple vs list,string operations,module contents,package contents,Primes,Sequence,Matrix,BankAccount,testing approaches,unittest,dict access,dict def,dict for keys,else part,except statements,exception object,finally block,handling keyword,IOError,multiple exception,standard exception,inf try except,close file,dump,open mode,pickle,default params,function call,local scope,debug,syntax,list append,list count,list def,module,module extension,package caller,package is a dir,same module name,import statement,digit counter,lower counter,upper counter,replace str,breakline,str convertion,str mulp,string funcs,str len,for loop,while break,while break (copy),list comp,list expansion,list number comp,list str comp,ABC module,abstract keyword,class method,inher init,object,object init,add overload,equal overload,less operator,inheritance,inheritance (copy),inheritance (copy) (copy),inhe init,inhe init (copy),inhe init (copy) (copy),loop str,loop str (copy),loop str (copy) (copy)
38367,Kíp 1,Chưa làm,40,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
38371,Kíp 1,35,90,38.89,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0.5,0,0,0,Chưa làm,Chưa làm,0.5,Không có,Không có,1,1,Không có,Không có,Không có,Không có,Không có,0,Không có,0,0,1,1,Không có,Không có,Không có,1,Không có,1,Không có,Không có,0,Không có,Không có,1,0,Không có,Không có,1,Không có,1,Không có,1,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,1,Không có,1,1,Không có,Không có,Không có,0,Không có,Không có,Không có,1,1,Không có,Không có,Không có,Không có,1,Không có,0,Không có
40123,Kíp 1,Chưa làm,40,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
40124,Kíp 1,58.5,90,65,1,0.5,1,1,1,1,1,1,0,1,1,1,1,1,0,Chưa làm,1,1,1,1,1,1,0.5,0,10,10,0,Chưa làm,0.5,Không có,Không có,1,1,Không có,Không có,Không có,Không có,Không có,Không có,0,0,0,1,Không có,0,Không có,Không có,Không có,1,1,Không có,Không có,Không có,1,1,1,Không có,1,Không có,Không có,Không có,0,Không có,1,Không có,Không có,Không có,Không có,1,Không có,Không có,1,Không có,Không có,1,1,Không có,0,Không có,Không có,Không có,1,1,Không có,Không có,1,Không có,Không có,1,Không có,Không có,1,Không có,Không có
40125,Kíp 1,62,90,68.89,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0.5,0.5,10,10,0,0,Không có,1,1,1,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,1,Không có,1,0,Không có,Không có,1,Không có,Không có,1,Không có,1,Không có,1,Không có,Không có,1,Không có,1,Không có,Không có,1,0,Không có,Không có,1,Không có,Không có,Không có,1,Không có,1,Không có,1,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,0,1,Không có,Không có,Không có,Không có,1,Không có,Không có,1
40126,Kíp 1,Chưa làm,40,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
40127,Kíp 1,56.83,90,63.14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0.5,10,3.3299999999999996,0,Chưa làm,1,Không có,Không có,1,1,Không có,0,Không có,Không có,Không có,Không có,0,Không có,1,1,1,Không có,Không có,Không có,Không có,1,Không có,1,Không có,1,Không có,Không có,1,Không có,0,1,Không có,Không có,1,Không có,1,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,1,Không có,1,1,Không có,0,Không có,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,1,Không có
40128,Kíp 1,Chưa làm,40,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
40129,Kíp 1,Chưa làm,40,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
40130,Kíp 1,45.33,90,50.37,Chưa làm,Chưa làm,0,Chưa làm,1,1,1,Chưa làm,Chưa làm,1,0,1,1,1,1,Chưa làm,1,1,1,0,Chưa làm,1,1,Chưa làm,10,3.3299999999999996,Chưa làm,Chưa làm,Không có,1,1,1,Không có,Không có,0,Không có,1,Không có,Không có,Không có,Không có,1,Không có,Chưa làm,Không có,1,Không có,Không có,1,Không có,1,Không có,0,Không có,Không có,1,Chưa làm,Không có,1,Không có,Không có,0,Không có,1,1,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,1,Không có,1,Chưa làm,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,Không có,1,0,Không có,Không có,Không có,Không có,1
40131,Kíp 1,Chưa làm,40,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
40132,Kíp 1,43.5,90,48.33,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0.5,10,0,Chưa làm,Chưa làm,0,Không có,Không có,1,1,Không có,Không có,Không có,0,Không có,Không có,0,Không có,0,1,Không có,0,Không có,Không có,0,Không có,1,Không có,Không có,Không có,1,1,1,Không có,Không có,1,Không có,Không có,0,Không có,1,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,1,1,Không có,0,Không có,Không có,0,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,1,Không có
40133,Kíp 1,26,90,28.89,0,0.5,0,0,1,0,1,1,Chưa làm,0,0,1,1,0,Chưa làm,Chưa làm,1,0,0,0,1,Chưa làm,1,Chưa làm,2.5,Chưa làm,Chưa làm,0,Không có,1,Không có,0,1,Không có,Không có,1,1,Không có,Không có,Không có,Không có,0,1,0,Không có,Không có,Không có,1,Không có,Không có,1,Không có,0,Không có,1,1,0,Không có,Không có,Không có,1,Không có,Không có,1,1,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,0,1,Không có,1,Không có,0,Không có,Không có,Không có,Không có,Không có,1,0,Không có,Không có,Không có,Không có,0,Không có,0,Không có
40134,Kíp 1,36.5,90,40.56,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,Chưa làm,1,1,1,0,0,Chưa làm,0.5,1,0,Chưa làm,Chưa làm,Chưa làm,1,Không có,1,1,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,0,Không có,Không có,1,1,Không có,1,Không có,1,Không có,Không có,Không có,1,0,Không có,1,Không có,1,Không có,Không có,1,Không có,1,1,Không có,Không có,Không có,Không có,Không có,Không có,1,1,Không có,Không có,1,0,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,1,Không có,0,Không có,Không có,Không có,0,Không có
40135,Kíp 1,Chưa làm,40,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
40136,Kíp 1,35.25,90,39.17,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,Chưa làm,1,1,1,0,1,Chưa làm,0,0.25,0,0,Chưa làm,0,Không có,1,Không có,1,1,Không có,Không có,Không có,Không có,Không có,0,Không có,1,1,Không có,Không có,0,1,Không có,Không có,1,Không có,1,Không có,0,Không có,1,1,Không có,Không có,1,Không có,1,Không có,Không có,1,1,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,1,1,Không có,Không có,0,Không có,Không có,0,Không có,Không có,Không có,1,Không có,Không có,1,Không có,0,Không có,1,Không có,Không có
40137,Kíp 1,32,90,35.56,0,1,0,1,1,0,1,1,Chưa làm,1,0,0,1,1,1,Chưa làm,1,1,1,0,1,0,1,0.5,2.5,Chưa làm,Chưa làm,Chưa làm,Không có,1,1,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,0,0,1,1,Không có,Không có,0,Không có,1,Không có,1,Không có,Không có,0,Không có,Không có,Không có,0,0,Không có,1,1,Không có,Không có,1,Không có,Không có,Không có,0,Không có,1,Không có,Không có,1,Không có,Không có,1,0,Không có,Không có,0,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,Không có,Chưa làm,Không có,1,Không có
40138,Kíp 1,45,90,50,0,0.5,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,10,Chưa làm,Chưa làm,Chưa làm,0.5,Không có,1,1,Không có,Không có,0,Không có,Không có,Không có,Không có,0,Không có,0,1,0,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,1,Không có,1,0,Không có,1,Không có,1,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,Không có,1,Không có,Không có,1,1,Không có,0,Không có,0,Không có,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,1,Không có,1,Không có
40139,Kíp 1,82.5,90,91.67,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0.5,10,10,10,10,1,Không có,0,Không có,1,Không có,1,Không có,Không có,1,Không có,Không có,Không có,1,1,1,Không có,Không có,Không có,Không có,1,Không có,1,1,Không có,Không có,Không có,1,1,Không có,Không có,1,Không có,Không có,1,0,Không có,1,Không có,Không có,Không có,1,Không có,Không có,1,1,Không có,Không có,0,Không có,Không có,1,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,Không có,1,1,Không có,Không có
40140,Kíp 1,25.5,90,28.33,0,0.5,1,1,1,1,1,0,Chưa làm,1,0,0,1,0,1,Chưa làm,1,1,1,0,0,0,1,0,0,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Không có,Không có,1,0,Không có,Không có,0,Không có,Không có,0,Không có,Không có,1,Không có,0,Không có,0,Không có,1,Không có,1,Không có,Không có,0,Không có,1,Không có,Không có,Không có,1,Chưa làm,Không có,1,Không có,0,1,Không có,Không có,Không có,Không có,Chưa làm,Không có,Không có,Không có,Không có,0,1,Không có,0,1,Không có,Không có,Không có,1,Không có,Không có,0,Không có,Không có,Không có,Không có,1,Không có,Không có,1
40141,Kíp 1,45.75,90,50.83,0,0.5,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0.25,10,0,Chưa làm,Chưa làm,Không có,1,1,1,Không có,Không có,Không có,Không có,Không có,Không có,1,0,Không có,0,1,0,Không có,Không có,Không có,Không có,0,1,Không có,Không có,1,Không có,1,1,Không có,0,Không có,Không có,Không có,Không có,1,1,1,Không có,Không có,Không có,Không có,Không có,Không có,1,1,Không có,1,Không có,Không có,1,1,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,0,Không có,0,Không có,1,Không có,Không có
40142,Kíp 1,40.5,90,45,0,0.25,0,0,1,1,1,1,0,0,1,0,1,0,Chưa làm,Chưa làm,1,1,1,1,1,Chưa làm,0,0.25,10,0,Chưa làm,0,Không có,0,Không có,1,0,0,Không có,0,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,1,1,Không có,Không có,1,1,Không có,1,Không có,Không có,1,1,Không có,Không có,Không có,1,Không có,1,Không có,1,Không có,Không có,1,Không có,Không có,Không có,0,Không có,Không có,1,Không có,1,Không có,1,Không có,1,Không có,Không có,Không có,Không có,0,Không có,1,Không có,1,Không có,Không có,Không có,1,Không có
40143,Kíp 1,42.5,90,47.22,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,Chưa làm,0,1,1,0,0,0,0.5,Chưa làm,10,0,0,0,Không có,1,0,1,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,0,0,1,1,Không có,Không có,Không có,Không có,1,Không có,1,1,Không có,Không có,Không có,Không có,Không có,0,0,1,1,Không có,Không có,1,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,1,1,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,Chưa làm,Không có,Không có,0,0,Không có,Không có,Không có,Không có,1
40144,Kíp 1,Chưa làm,40,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
40145,Kíp 1,69,90,76.67,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,10,10,10,0,Không có,0,Không có,1,1,Không có,Không có,0,Không có,Không có,Không có,Không có,0,1,1,Không có,0,Không có,1,Không có,Không có,1,Không có,Không có,0,Không có,Không có,1,Không có,1,1,Không có,1,Không có,Không có,0,Không có,Không có,Không có,Không có,0,1,Không có,Không có,1,1,Không có,Không có,Không có,1,Không có,Không có,1,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,1,Không có,0,Không có
40146,Kíp 1,62.25,90,69.17,Chưa làm,1,1,1,1,1,1,1,0,Chưa làm,0,1,1,0,1,1,0,1,1,0,0,1,1,0.25,10,10,10,0,Không có,Chưa làm,Không có,1,1,Không có,Không có,Không có,Chưa làm,1,Không có,Không có,Không có,Chưa làm,1,Không có,1,Không có,Không có,Không có,1,Không có,1,Không có,0,Không có,Chưa làm,1,Không có,Không có,Không có,Chưa làm,Không có,Không có,1,0,Không có,1,Không có,Không có,Không có,Không có,1,Không có,1,1,Không có,Không có,Chưa làm,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,1,0,Không có,Không có,Không có,Không có,1
40147,Kíp 1,58,90,64.44,1,1,1,Chưa làm,1,1,1,1,Chưa làm,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,10,10,Chưa làm,0,1,Không có,1,0,Không có,Không có,1,Không có,0,Không có,Không có,Không có,Không có,1,1,Không có,0,Không có,1,Không có,Không có,Không có,1,1,Không có,Không có,1,1,0,Không có,Không có,Không có,Không có,Không có,1,0,Không có,Không có,Không có,0,Không có,1,Không có,Không có,Không có,1,Không có,1,Không có,1,1,Không có,Không có,Không có,Không có,1,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,1
40148,Kíp 1,55,90,61.11,1,1,1,0,1,1,1,0,0,1,1,1,1,1,Chưa làm,0,1,1,1,1,0,0,1,0,10,10,0,Chưa làm,Không có,0,1,1,Không có,Không có,1,0,Không có,Không có,Không có,Không có,Không có,0,1,Không có,Không có,1,1,Không có,Không có,Không có,1,Không có,Không có,1,Không có,1,0,Không có,Không có,1,Không có,Không có,1,1,Không có,1,Không có,Không có,Không có,Không có,Không có,1,1,1,Không có,Không có,Không có,0,Không có,0,Không có,Không có,1,Không có,Không có,Không có,Không có,0,Không có,1,Không có,Không có,Không có,1
